date,t,s,i,r
2021-02-06,348,59017454.41019966,0.9786467182555747,982544.6111535269
2021-02-07,349,59017454.410199024,0.9331372826075928,982544.6566635928
2021-02-08,350,59017454.41019845,0.8897441221834111,982544.7000573316
2021-02-09,351,59017454.41019792,0.8483688307069707,982544.7414331541
2021-02-10,352,59017454.41019743,0.8089175742048936,982544.7808848979
2021-02-11,353,59017454.41019698,0.7713008805729902,982544.8185020391
2021-02-12,354,59017454.41019657,0.7354334425803769,982544.8543698876
2021-02-13,355,59017454.41019619,0.701233917521663,982544.8885697897
2021-02-14,356,59017454.41019584,0.6686247431325637,982544.92117931
2021-02-15,357,59017454.41019553,0.6375319669845168,982544.9522724038
2021-02-16,358,59017454.41019524,0.6078850749800285,982544.9819195872
2021-02-17,359,59017454.41019497,0.5796168297997119,982545.0101881
2021-02-18,360,59017454.410194725,0.5526631221359459,982545.0371420532
2021-02-19,361,59017454.410194494,0.5269628250456813,982545.0628425758
2021-02-20,362,59017454.41019429,0.5024576519504764,982545.0873479559
2021-02-21,363,59017454.4101941,0.47909202652800115,982545.1107137712
2021-02-22,364,59017454.41019393,0.4568129592495951,982545.1329930129
