date,t,infetti best fit,infetti upper lim,infetti lower lim
2021-01-07,318,0.006602495605773814,0.0076915091858909615,0.005513482025656666
2021-01-08,319,0.006147494181431683,0.007161459967552889,0.005133528395310477
2021-01-09,320,0.0057238443162727975,0.006667933424858713,0.004779755207686882
2021-01-10,321,0.005329386001600839,0.006208413277946801,0.004450358725254876
2021-01-11,322,0.004962108307433691,0.0057805569146666645,0.004143659700200718
2021-01-12,323,0.004620138652413772,0.005382182890671626,0.0038580944141559173
2021-01-13,324,0.00430173332164732,0.005011259883273458,0.003592206760021182
2021-01-14,325,0.004005268965268258,0.004665896787781998,0.003344641142754518
2021-01-15,326,0.0037292338441148208,0.004344332519246395,0.0031141351689832463
2021-01-16,327,0.0034722203479101705,0.004044927296586753,0.0028995133992335883
2021-01-17,328,0.003232918003092822,0.0037661544971382683,0.0026996815090473756
2021-01-18,329,0.003010106419788522,0.003506592440298841,0.0025136203992782028
2021-01-19,330,0.0028026493815126383,0.003264917502388802,0.0023403812606364745
2021-01-20,331,0.002609488950505748,0.0030398972497223814,0.0021790806512891146
2021-01-21,332,0.0024296399691869355,0.002830384033132417,0.002028895905241454
2021-01-22,333,0.002262185356510873,0.0026353095085100264,0.0018890612045117192
2021-01-23,334,0.0021062711016314024,0.0024536788047246137,0.0017588633985381908
2021-01-24,335,0.0019611017121767766,0.0022845652211390365,0.0016376382032145165
2021-01-25,336,0.001825936741328027,0.0021271061818653562,0.001524767300790698
2021-01-26,337,0.0017000869691753014,0.0019804987872752726,0.00141967515107533
2021-01-27,338,0.0015829104687542749,0.0018439952311698,0.0013218257063387496
2021-01-28,339,0.001473809506660988,0.001716899190182476,0.0012307198231395003
2021-01-29,340,0.0013722274655955154,0.0015985622387283348,0.001145892692462696
2021-01-30,341,0.001277646367580386,0.0014883809637027436,0.0010669117714580283
2021-01-31,342,0.0011895841450698264,0.001385793785488248,0.0009933745046514049
2021-02-01,343,0.0011075911244391732,0.001290276861431817,0.0009249053874465293
2021-02-02,344,0.0010312490416884328,0.001201342939198854,0.0008611551441780115
2021-02-03,345,0.0009601688216553189,0.00111853876969032,0.0008017988736203177
2021-02-04,346,0.0008939875777140599,0.0010414416118727913,0.0007465335435553285
2021-02-05,347,0.0008323675435857281,0.0009696579884019155,0.0006950770987695406
2021-02-06,348,0.0007749946549779345,0.0009028220333181977,0.0006471672766376714
2021-02-07,349,0.0007215761890613161,0.0008405927421794693,0.000602559635943163
2021-02-08,350,0.0006718393713220791,0.0007826523491281224,0.0005610263935160359
2021-02-09,351,0.0006255306324431051,0.000728705461202415,0.0005223558036837951
2021-02-10,352,0.0005824138732709942,0.0006784770371277167,0.00048635070941427166
2021-02-11,353,0.000542268827640433,0.0006317104801056338,0.0004528271751752322
2021-02-12,354,0.0005048907445956175,0.0005881672676211327,0.0004216142215701023
2021-02-13,355,0.00047008908375008345,0.0005476254316154251,0.00039255273588474177
2021-02-14,356,0.0004376860338139221,0.0005098778326595211,0.0003654942349683231
2021-02-15,357,0.0004075162834833797,0.0004747318930544303,0.0003403006739123291
2021-02-16,358,0.00037942616452262933,0.00044200859857310674,0.0003168437304721519
2021-02-17,359,0.00035327233100670513,0.00041154095985812154,0.0002950037021552887
2021-02-18,360,0.00032892112349891073,0.0003831732717266902,0.00027466897527113126
2021-02-19,361,0.0003062483665813027,0.0003567608773058965,0.0002557358558567089
2021-02-20,362,0.000285138520078304,0.00033216917925939194,0.00023810786089721603
2021-02-21,363,0.00026548367712862027,0.00030927247260160404,0.00022169488165563647
2021-02-22,364,0.00024718353503751006,0.0002879539107423891,0.000206413159332631
